Filter_pos	Move_pos	Green_532nm	Blue_407nm	Red_639nm
6	125	NaN	NaN	NaN
 6-8	-25	7.68E-07	1.15E-07	1.27E-06
 6-7	-50	1.28E-06	1.69E-07	1.95E-06
 6-6	125	1.56E-06	2.28E-07	2.90E-06
 6-5	100	2.00E-06	2.99E-07	3.17E-06
 6-4	75	2.52E-06	3.58E-07	4.19E-06
 6-3	50	2.74E-06	3.97E-07	4.48E-06
 6-2	25	3.10E-06	4.63E-07	5.51E-06
 6-1	0	3.79E-06	5.93E-07	7.41E-06
 8-8	175	7.46E-06	2.21E-06	9.59E-06
 8-7	150	1.27E-05	4.00E-06	1.47E-05
 8-6	125	1.56E-05	4.94E-06	2.18E-05
 8-5	100	1.97E-05	6.29E-06	2.38E-05
 8-4	75	2.49E-05	8.26E-06	3.10E-05
 8-3	50	2.72E-05	8.93E-06	3.32E-05
 8-2	25	3.09E-05	1.02E-05	4.10E-05
 8-1	0	3.70E-05	1.28E-05	5.56E-05
5	-87	NaN	NaN	NaN
 5-8	-25	2.33E-05	6.57E-06	2.80E-05
 5-7	-50	3.99E-05	1.23E-05	4.00E-05
 5-6	-75	4.88E-05	1.54E-05	6.20E-05
 5-5	100	6.07E-05	1.96E-05	6.20E-05
 5-4	75	7.67E-05	2.55E-05	8.70E-05
 5-3	50	8.39E-05	2.75E-05	9.30E-05
 5-2	25	9.57E-05	3.11E-05	1.17E-04
 5-1	0	1.16E-04	3.92E-05	1.67E-04
4	-112	NaN	NaN	NaN
 4-8	-25	2.10E-04	9.50E-05	2.14E-04
 4-7	-50	3.65E-04	1.71E-04	3.22E-04
 4-6	-75	4.40E-04	2.21E-04	4.84E-04
 4-5	-100	5.49E-04	2.62E-04	4.99E-04
 4-4	75	6.96E-04	3.55E-04	6.65E-04
 4-3	50	7.59E-04	3.80E-04	7.31E-04
 4-2	25	8.42E-04	4.49E-04	9.24E-04
 4-1	0	1.05E-03	5.77E-04	1.33E-03
3	-137	NaN	NaN	NaN
 3-8	-25	2.13E-03	1.46E-03	1.77E-03
 3-7	-50	3.69E-03	2.61E-03	2.65E-03
 3-6	-75	4.47E-03	3.34E-03	3.99E-03
 3-5	-100	5.53E-03	3.92E-03	3.99E-03
 3-4	-125	6.97E-03	5.37E-03	5.63E-03
 3-3	50	7.81E-03	5.84E-03	6.01E-03
 3-2	25	8.79E-03	6.85E-03	7.58E-03
 3-1	0	1.09E-02	8.75E-03	1.08E-02
2	-162	NaN	NaN	NaN
 2-8	-25	2.01E-02	1.62E-02	1.48E-02
 2-7	-50	3.48E-02	2.89E-02	2.21E-02
 2-6	-75	4.13E-02	3.67E-02	3.37E-02
 2-5	-100	5.14E-02	4.45E-02	3.39E-02
 2-4	-125	6.71E-02	5.92E-02	4.73E-02
 2-3	-150	7.23E-02	6.66E-02	5.11E-02
 2-2	25	8.43E-02	7.36E-02	6.30E-02
 2-1	0	1.01E-01	9.49E-02	8.92E-02
1	-187	NaN	NaN	NaN
 1-8	-25	2.02E-01	1.64E-01	1.61E-01
 1-7	-50	3.49E-01	2.95E-01	2.42E-01
 1-6	-75	4.19E-01	3.82E-01	3.70E-01
 1-5	-100	5.11E-01	4.43E-01	3.69E-01
 1-4	-125	6.59E-01	6.20E-01	5.16E-01
 1-3	-150	7.17E-01	6.68E-01	5.56E-01
 1-2	-175	8.26E-01	7.77E-01	7.05E-01
 1-1	0	1.00E+00	1.00E+00	1.00E+00
